Month,Export_Tariff_p_kWh,Scheme
2015-01,4.85,FiT
2015-02,4.85,FiT
2015-03,4.85,FiT
2015-04,4.85,FiT
2015-05,4.85,FiT
2015-06,4.85,FiT
2015-07,4.85,FiT
2015-08,4.85,FiT
2015-09,4.85,FiT
2015-10,4.85,FiT
2015-11,4.85,FiT
2015-12,4.85,FiT
2016-01,4.91,FiT
2016-02,4.91,FiT
2016-03,4.91,FiT
2016-04,4.91,FiT
2016-05,4.91,FiT
2016-06,4.91,FiT
2016-07,4.91,FiT
2016-08,4.91,FiT
2016-09,4.91,FiT
2016-10,4.91,FiT
2016-11,4.91,FiT
2016-12,4.91,FiT
2017-01,5.03,FiT
2017-02,5.03,FiT
2017-03,5.03,FiT
2017-04,5.03,FiT
2017-05,5.03,FiT
2017-06,5.03,FiT
2017-07,5.03,FiT
2017-08,5.03,FiT
2017-09,5.03,FiT
2017-10,5.03,FiT
2017-11,5.03,FiT
2017-12,5.03,FiT
2018-01,5.24,FiT
2018-02,5.24,FiT
2018-03,5.24,FiT
2018-04,5.24,FiT
2018-05,5.24,FiT
2018-06,5.24,FiT
2018-07,5.24,FiT
2018-08,5.24,FiT
2018-09,5.24,FiT
2018-10,5.24,FiT
2018-11,5.24,FiT
2018-12,5.24,FiT
2019-01,3.79,FiT
2019-02,3.79,FiT
2019-03,3.79,FiT
2019-04,3.79,FiT
2019-05,3.79,FiT
2019-06,3.79,FiT
2019-07,3.79,FiT
2019-08,3.79,FiT
2019-09,3.79,FiT
2019-10,3.79,FiT
2019-11,3.79,FiT
2019-12,3.79,FiT
2020-01,5.5,SEG
2020-02,5.5,SEG
2020-03,5.5,SEG
2020-04,5.5,SEG
2020-05,5.5,SEG
2020-06,5.5,SEG
2020-07,5.5,SEG
2020-08,5.5,SEG
2020-09,5.5,SEG
2020-10,5.5,SEG
2020-11,5.5,SEG
2020-12,5.5,SEG
