Year,Month,Price_per_kWh (GBP),Monthly Savings (GBP),Cumulative Savings (GBP),Payback (%)
2016,1,0.154,3238.93,3238.93,44.99
2016,2,0.154,6797.1,10036.03,139.39
2016,3,0.154,12186.48,22222.51,308.65
2016,4,0.154,16222.67,38445.18,533.96
2016,5,0.154,18292.74,56737.91,788.03
2016,6,0.154,16727.02,73464.93,1020.35
2016,7,0.154,17894.8,91359.73,1268.89
2016,8,0.154,18278.72,109638.45,1522.76
2016,9,0.154,15216.59,124855.04,1734.1
2016,10,0.154,9138.05,133993.09,1861.02
2016,11,0.154,5665.81,139658.9,1939.71
2016,12,0.154,4164.01,143822.91,1997.54
2017,1,0.165,3268.82,147091.72,2042.94
2017,2,0.165,8491.06,155582.79,2160.87
2017,3,0.165,15295.66,170878.46,2373.31
2017,4,0.165,19095.28,189973.74,2638.52
2017,5,0.165,25278.99,215252.73,2989.62
2017,6,0.165,25084.62,240337.35,3338.02
2017,7,0.165,24173.16,264510.51,3673.76
2017,8,0.165,24842.56,289353.08,4018.79
2017,9,0.165,17366.42,306719.49,4259.99
2017,10,0.165,13809.02,320528.5,4451.78
2017,11,0.165,7137.9,327666.41,4550.92
2017,12,0.165,4958.08,332624.49,4619.78
2018,1,0.178,6045.95,338670.44,4703.76
2018,2,0.178,8655.07,347325.51,4823.97
2018,3,0.178,16710.28,364035.79,5056.05
2018,4,0.178,29039.1,393074.89,5459.37
2018,5,0.178,32972.9,426047.79,5917.33
2018,6,0.178,33824.81,459872.6,6387.12
2018,7,0.178,36416.66,496289.26,6892.91
2018,8,0.178,32194.33,528483.59,7340.05
2018,9,0.178,24507.93,552991.52,7680.44
2018,10,0.178,18509.15,571500.67,7937.51
2018,11,0.178,9516.24,581016.9,8069.68
2018,12,0.178,4992.72,586009.63,8139.02
2019,1,0.194,5516.78,591526.4,8215.64
2019,2,0.194,12185.33,603711.74,8384.89
2019,3,0.194,18313.6,622025.34,8639.24
2019,4,0.194,25934.89,647960.23,8999.45
2019,5,0.194,27781.77,675742.0,9385.31
2019,6,0.194,41291.35,717033.35,9958.8
2019,7,0.194,37033.82,754067.17,10473.16
2019,8,0.194,32071.3,786138.47,10918.59
2019,9,0.194,26524.65,812663.12,11286.99
2019,10,0.194,18172.56,830835.69,11539.38
2019,11,0.194,9216.55,840052.24,11667.39
2019,12,0.194,5593.8,845646.03,11745.08
2020,1,0.196,7461.13,853107.17,11848.71
2020,2,0.196,13127.69,866234.85,12031.04
2020,3,0.196,23524.9,889759.75,12357.77
2020,4,0.196,39796.62,929556.38,12910.51
2020,5,0.196,39767.03,969323.41,13462.83
2020,6,0.196,37955.6,1007279.0,13989.99
2020,7,0.196,27107.19,1034386.19,14366.47
2020,8,0.196,18897.73,1053283.93,14628.94
2020,9,0.196,17770.93,1071054.85,14875.76
